step,reward,loss,epsilon,hit
740,-0.1,,0.912125,False
741,-0.05,,0.91200625,False
742,-0.05,,0.9118875,False
743,-0.05,,0.91176875,False
744,-0.1,,0.91165,False
745,-0.1,,0.91153125,False
746,-0.05,,0.9114125,False
747,-0.05,,0.91129375,False
748,-0.1,,0.911175,False
749,-0.1,,0.91105625,False
750,-0.04,,0.9109375,False
751,-0.1,,0.91081875,False
752,-0.05,,0.9107000000000001,False
753,-0.05,,0.91058125,False
754,-0.07,,0.9104625,False
755,-0.1,,0.91034375,False
756,-0.1,,0.9102250000000001,False
757,-0.05,,0.91010625,False
758,-0.05,,0.9099875,False
759,-0.1,,0.90986875,False
760,-0.07,,0.9097500000000001,False
761,-0.05,,0.90963125,False
762,1.1,,0.9095125,True
763,-0.1,,0.90939375,False
764,-0.05,,0.909275,False
765,-0.05,,0.90915625,False
766,-0.05,,0.9090374999999999,False
767,-0.05,,0.90891875,False
768,-0.09000000000000001,,0.9088,False
769,-0.1,,0.90868125,False
770,-0.1,,0.9085625,False
771,-0.1,,0.90844375,False
772,-0.05,,0.908325,False
773,-0.1,,0.90820625,False
774,-0.1,,0.9080875,False
775,-0.1,,0.90796875,False
776,-0.1,,0.90785,False
777,-0.05,,0.90773125,False
778,-0.1,,0.9076125,False
779,-0.05,,0.90749375,False
780,-0.1,,0.907375,False
781,-0.05,,0.90725625,False
782,0.8999999999999999,,0.9071375,True
783,-0.1,,0.90701875,False
784,-0.1,,0.9069,False
785,-0.07,,0.90678125,False
786,-0.05,,0.9066625,False
787,-0.05,,0.90654375,False
788,-0.05,,0.906425,False
789,-0.05,,0.90630625,False
790,-0.05,,0.9061875,False
791,-0.1,,0.90606875,False
792,-0.1,,0.90595,False
793,-0.1,,0.90583125,False
794,-0.05,,0.9057125,False
795,-0.05,,0.90559375,False
796,-0.05,,0.905475,False
797,-0.05,,0.90535625,False
798,-0.05,,0.9052375,False
799,-0.1,,0.90511875,False
800,-0.1,,0.905,False
801,-0.1,,0.90488125,False
802,1.1,,0.9047625,True
803,-0.1,,0.90464375,False
804,-0.05,,0.904525,False
805,-0.07,,0.90440625,False
806,-0.05,,0.9042875,False
807,-0.04,,0.90416875,False
808,-0.05,,0.90405,False
809,-0.1,,0.90393125,False
810,-0.05,,0.9038125,False
811,-0.05,,0.90369375,False
812,-0.04,,0.903575,False
813,-0.1,,0.9034562500000001,False
814,-0.05,,0.9033375,False
815,-0.1,,0.90321875,False
816,-0.1,,0.9031,False
817,0.8999999999999999,,0.9029812500000001,True
818,-0.05,,0.9028625,False
819,-0.05,,0.90274375,False
820,-0.05,,0.902625,False
821,-0.05,,0.9025062500000001,False
822,-0.05,,0.9023875,False
823,-0.04,,0.90226875,False
824,-0.05,,0.90215,False
825,-0.05,,0.9020312500000001,False
826,-0.05,,0.9019125,False
827,-0.05,,0.90179375,False
828,-0.05,,0.901675,False
829,-0.05,,0.9015562500000001,False
830,-0.1,,0.9014375,False
831,1.4,,0.9013187500000001,True
832,-0.05,,0.9012,False
833,-0.05,,0.9010812500000001,False
834,-0.07,,0.9009625,False
835,-0.05,,0.90084375,False
836,-0.1,,0.900725,False
837,-0.05,,0.90060625,False
838,-0.04,,0.9004875,False
839,-0.05,,0.90036875,False
840,-0.07,,0.90025,False
841,-0.1,,0.90013125,False
842,-0.05,,0.9000125,False
843,-0.1,,0.89989375,False
844,-0.05,,0.899775,False
845,-0.1,,0.89965625,False
846,-0.09000000000000001,,0.8995375,False
847,-0.05,,0.89941875,False
848,-0.1,,0.8993,False
849,-0.1,,0.89918125,False
850,-0.1,,0.8990625,False
851,-0.05,,0.89894375,False
852,-0.05,,0.898825,False
853,-0.05,,0.89870625,False
854,-0.05,,0.8985875,False
855,-0.04,,0.89846875,False
856,-0.1,,0.89835,False
857,-0.05,,0.89823125,False
858,-0.1,,0.8981125,False
859,-0.04,,0.89799375,False
860,-0.05,,0.897875,False
861,-0.1,,0.89775625,False
862,-0.1,,0.8976375,False
863,-0.1,,0.89751875,False
864,-0.1,,0.8974,False
865,-0.05,,0.89728125,False
866,-0.1,,0.8971625,False
867,-0.1,,0.89704375,False
868,-0.05,,0.896925,False
869,-0.05,,0.89680625,False
870,-0.05,,0.8966875,False
871,-0.05,,0.89656875,False
